sku,sentiment,text
HDFAD90002,negatief,"Ze zijn vrij lomp, maar dat hoort bij deze schoen. Loopcomfort is redelijk, maar er is totaal geen steun. Schacht is vrij breed, dus met smalle kuiten moet je de veters helemaal aantrekken."
HDFAD90002,positief,Bestel een maatje groter dan je vaste maat. Ze vallen relatief klein. Ik moest mijn originele maat terugsturen en een maat groter bestellen!
HDFAD90002,positief,"Als je de veters aantrekt kan de boot gaan schuren tijdens het lopen op de hiel. Advies is trek de veters losjes aan, zodat je voet vrij kan bewegen in de boot."
HDFAD90002,positief,"Waterdicht, soepel, heerlijk warm en goed afgewerkt"
HDFAD90002,positief,"Zit lekker, gaan makkelijk aan."
HDFAD90002,positief,"Fijne en comfortabele schoen. Zeker in een omgeving met sneeuw, een erg fijne schoen."
HDFAD90002,positief,Gewoon je eigen schoenmaat en dat het dan het perfect zit met dikke (ski)sokken erin.
HDFAD90002,positief,"Totaal product ziet er goed uit,maar de toekomst moet uitwijzen of het werkelijk kwaliteit is."
HDFAD90002,neutraal,Lopen als pantoffels
HDFAD90002,positief,"Fijne schoen, comfortabel en warm"
HDFAD90002,positief,Waterdicht
HDFAD90002,positief,"Waterdicht, stevig, goede zool"
HDFAD90002,neutraal,Comfort
HDFAD90002,positief,"Erg goed afgewerkt, goede pasvorm"
HDFAD90002,positief,Lekker warm. Fijne pasvorm
HDFAD90002,positief,"Solide schoen, goede pasvorm en uitstraling"
HDFAD90002,positief,Warme voeten; waterdicht.
HDFAD90002,positief,Warm en waterdicht
HDFAD90002,negatief,De boot is breed en waterdicht. Het brede is fijn zodat wanneer het koud wordt je dikkere sokken kan aandoen zonder dat je voeten krap zitten.
HDFAD90002,positief,"Comfortabel aan de voet, prettig om op te lopen en biedt voldoende antislip op gladde ondergronden."
HDFAD90002,positief,Ruime schoen zodat je je tenen nog lekker kan bewegen.
HDFAD90002,neutraal,Warmte
HDFAD90002,positief,"Perfecte sneeuwschoen voor de Hollandse winters en een uitstapje naar de wintersport. Lekker warm en redelijk stijvol, voor zover dan kan met dit soort schoenen. Waterdichtheid is zeer goed. Loopcomfort redelijk, warmte prima. Valt klein, dus even goed de maattabel kijken, die klopt precies. Wie je een paar dikke sokken erin aan doen, koop dan in ieder geval een half maatje groter. Zool is heel lekker 'grippy' op sneeuw en ijs!"
HDFAD90002,positief,Heerlijke laars voor het bos en strand. Warm en waterdicht. Persoonlijk vind ik hem ook erg mooi. Voelt zeer solide aan dus ik ga er van uit dat ik er jaren plezier van ga hebben.
HDFAD90002,positief,Licht en waterdicht
B22AAA0035,neutraal,Neen
B22AAA0035,neutraal,Nee
B22AAA0035,neutraal,Nvt
B22AAA0035,negatief,"De maatvoering van de schoen klopt niet, hij valt erg klein. In mijn geval moest ik 2 maten groter hebben. Dat is in de winkel peanuts, maar heel erg vervelend als je online bestelt."
B22AAA0035,positief,Op advies van klant de maat 2/3 e groter gekocht  Normaal 44 en 44-2/3 gekocht.
B22AAA0035,neutraal,De schoenen vallen kleiner uit.
B22AAA0035,neutraal,"Niet, misschien in de toekomst?"
B22AAA0035,negatief,Iets wat smal en valt klein.
B22AAA0035,neutraal,Vallen klein.Maar dat werd op de site al aangegeven.
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Minimaal 1 maat groter bestellen dan ?normale? schoenmaat.
B22AAA0035,negatief,"Veel te smal voor mijn brede voet, en loopt niet makkelijk uit. Van alles geprobeerd, maar blijft wringen.. helaas."
B22AAA0035,negatief,Pasvorm te klein
B22AAA0035,neutraal,Langere veters
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,GEEN
B22AAA0035,neutraal,Aandacht voor comfort
B22AAA0035,neutraal,niet ontdekt
B22AAA0035,neutraal,Neem een maatje groter.
B22AAA0035,negatief,Ze moeten iets groter vallen  Heb normaal 44 Adidas 442/3 nu 451/3 en zijn nog aan de te kleine kant  Moet ze denk eerst 10 X aangehad hebben
B22AAA0035,negatief,Ze zijn misschien voor dagelijks gebruik wat log
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Nee
B22AAA0035,negatief,Te krap voor brede voet
B22AAA0035,neutraal,Geen
B22AAA0035,positief,Ik moest 2 maten groter kopen dan normaal dus moest ze wel een keer ruilen voor een grotere maat.
B22AAA0035,positief,Kunststof schoenen.. duurt iets langer voordat ze zijn ingelopen.. In huis krijg ik na verloop van tijd warme voeten.
B22AAA0035,neutraal,Veters
B22AAA0035,positief,"Nog niets, moet ze nog echt testen op vakantie."
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Geen
B22AAA0035,negatief,meting voet 0 ik heb nu pijne voeten ivm breedte schoen dus moet ik grote re maat kopen  wel jammer mede de prijs
B22AAA0035,neutraal,Nog niet ontdekt.
B22AAA0035,negatief,"Valt klein, maar wel voor wat bredere voeten"
B22AAA0035,neutraal,loopt wat smal uit
B22AAA0035,neutraal,Nee
B22AAA0035,neutraal,Gat voor veter erbij
B22AAA0035,neutraal,Snelsluiter ipv veters zou nog mooier zijn.
B22AAA0035,positief,"Te 'stevig onder enkel, waardoor daar een drukpunt ontstaat bij m'n rechtervoet. NA lange wandeling voel ik dat.   Misschien anders veteren de volgende keer."
B22AAA0035,neutraal,Noop
B22AAA0035,neutraal,Nee nog niet
B22AAA0035,positief,"Het is een vrij warme schoen. En rond mijn enkel zit het niet altijd even goed, dat kost wat meer tijd om de juiste positie te krijgen"
B22AAA0035,neutraal,Geen tot nu toe
B22AAA0035,neutraal,De lip had wat mij betreft langer gemogen
B22AAA0035,neutraal,Geen
B22AAA0035,neutraal,Voor uitdagend hiken (klimmen/ steen/rots) kan je een schoen met meet stevigheid pakken
B22AAA0035,neutraal,"Ja, te weinig ruimte. Ook al had ik groter besteld."
B22AAA0035,negatief,"Te klein. Grotere maat zou dan een optie zijn, alleen wordt de schoen dan te breed."
B22AAA0035,neutraal,Weet ik niet
B22AAA0035,neutraal,Nee
B22AAA0035,neutraal,???
B22AAA0035,neutraal,In de binnenzijde van hiel zit een stiksel deze schuurt tegen de hiel
B22AAA0035,positief,Veters strikken wat moeilijk. Niet in één beweging vaster te trekken
B22AAA0035,positief,"Fijne wandelschoenen,  lekker licht en waterafstotend."
B22AAA0035,positief,Goede grip en mooie uitstraling
B22AAA0035,positief,Zit als gegoten en loopt bijzonder fijn!!
B22AAA0035,neutraal,Prijs
B22AAA0035,positief,Loopt lekker
B22AAA0035,positief,zitten super lekker en heerlijk warme en droge voeten
B22AAA0035,positief,Fijne wandelschoen
B22AAA0035,positief,stevigheid comfort  Waterdicht  Kleurzetting Voetbed
B22AAA0035,negatief,Schoenen kun je zonder in te lopen lange afstanden kan wandelen.
B22AAA0035,neutraal,zie boven
B22AAA0035,positief,"Stevig, mooi, waterdicht"
B22AAA0035,positief,heel goed
B22AAA0035,positief,"Comfortabel, afwerking"
B22AAA0035,neutraal,Sportieve uitstraling
B22AAA0035,neutraal,Uiterlijk en loopcomfort.
B22AAA0035,positief,Mooie stevige schoen.
B22AAA0035,positief,Mooi stevige wandelschoen
B22AAA0035,positief,Modern design
B22AAA0035,positief,Licht en voelt goed aan je voet
B22AAA0035,neutraal,De kleur demping comfort
B22AAA0035,positief,Waterdicht en stevige loop.
B22AAA0035,positief,tot nu toe bevallen ze goed.
B22AAA0035,positief,"Ik vind het een prettige schoen voor op de sportschool met gewichten vechten. Stevige zool, schuif niet weg . Toppie"
B22AAA0035,neutraal,Stevigheid
B22AAA0035,neutraal,"Gore-tex voor de elementen, continental zool voor grip"
B22AAA0035,positief,"Had enkele jaren deze schoenen gekocht. Bevallen zo goed dat ik nu dezelfde heb gekocht maar de nieuwe. Goede grip, stevige basis en lopen comfortabel."
B22AAA0035,neutraal,Ontwerp en Materiaal
B22AAA0035,positief,Fijne stevige schoen die toch comfortabel zit
B22AAA0035,positief,"Ff stug, daarna soepel 'lopend'."
B22AAA0035,positief,Sterkte stevige schoenen
B22AAA0035,positief,"Zitten stevig, voelt echt aan als een schoen die jaren mee gaat."
B22AAA0035,neutraal,Hoefde ze geeneens in te lopen
B22AAA0035,positief,Voldoet precies aan de verwachtingen.
B22AAA0035,positief,"Tof design, zit heerlijk. Goede isolatie, voeten zijn niet koud, vooral in combinatie met technische wandel sokken.   En toevallig in de sale, kon het niet laten staan."
B22AAA0035,positief,Precies wat ik zocht ook het design en kleur zijn geweldig kreeg veel positieve feedback
B22AAA0035,neutraal,Alles
B22AAA0035,positief,Waterdicht
B22AAA0035,neutraal,Pasvorm en comfort
B22AAA0035,positief,Ik had ze gekocht om in de Filippijnen door de jungle te wandelen.  Ze zijn waterdicht en hebben goede grip wat goed uitkwam over de glibberige grond en stenen.
B22AAA0035,positief,Licht en waterdicht
B22AAA0035,positief,"Stevige, waterdichte schoenen. Ze lopen fijn een geven genoeg steun. Lekker voor in het bos aan t strand. Breed genoeg voor mijn voeten.."
B22AAA0035,positief,Stevige goed uitziende schoen.
B22AAA0035,positief,Zitten goed en geven genoeg steun.
B22AAA0035,positief,Praktische schoen ook om mee te sporten in de sportschool
B22AAA0035,positief,Praktische schoen  ook om mee te sporten in de sportschool
B22AAA0035,positief,"Waterdicht door goretex, zitten erg comfortabel, stevige schoenen die tegen een stootje kunnen."
B22AAA0035,positief,loopt perfect
B22AAA0035,positief,"Waterdicht, zeer goede grip. Leuke kleur, goede pasvorm. Valt klein, maar daarom ook halve maat groter genomen dan normaal. Heeft een redelijk gevormd voetbed. Mooie prijs."
B22AAA0035,positief,"Stevige schoen, goede zool, mooie kleur"
B22AAA0035,positief,"heerlijke comfortabele schoen, 1e dag dat ik ze aanhad ruim 10km gewandeld en nergens last van."
B22AAA0035,positief,Prijs-kwaliteitverhouding. Sterke zool. Goede demping. Mooie schoen.
B22AAA0035,neutraal,Het model
B22AAA0035,neutraal,Stabiliteit en soberheid
B22AAA0035,neutraal,Afwerking
B22AAA0035,positief,"Stabiel, grip, inlopen niet echt nodig n goede pasvorm is daarbij top"
B22AAA0035,positief,"Goede zool, goede materialen en fijne wandelschoen."
B22AAA0035,positief,Heerlijke schoen..
B22AAA0035,positief,Goede grip en stevig. Ziet er ook nog leuk uit
B22AAA0035,positief,Goede kwaliteit
B22AAA0035,positief,Stevig en toch licht qua gewicht!
B22AAA0035,positief,"Snel ingelopen schoen Meermaals complimenten gekregen vanwege het uiterlijk Goede grip tijdens bergwandeling (ondergrond van zand, kiezelstenen, en grote stenen)"
B22AAA0035,neutraal,Pasvorm en draagcomfort
B22AAA0035,positief,Breede schoen voor brede voeten. Luchtige schoen.
B22AAA0035,positief,"Goede comfort, kan lopen 20-25 ,km zonder probleem. Past perfect als je iets groter maat neemt- ik draag maat 44 en heb 44 2/3 bestelt en past perfect!"
B22AAA0035,positief,"Waterdicht, goretex, soepele schoen voor veel lopen. Fijne pasvorm"
B22AAA0035,positief,Goede uitstraling
B22AAA0035,neutraal,Uitstraling
B22AAA0035,positief,Lichte schoen
B22AAA0035,neutraal,Profiel
B22AAA0035,positief,ik vind ze mooi
B22AAA0035,positief,Veel grip en stevige lichtgewicht schoen
B22AAA0035,positief,"Stevig,  maar wel comfortabel"
B22AAA0035,positief,"Goede pasvorm, schoen is lekker ligt, waterdicht, lopen erg lekker."
HABAD90021,positief,net iets te laag
HABAD90021,positief,lopen goed
HABCE10024,positief,Veters gaan snel los.
HABCE10024,neutraal,Nog niet ontdekt
HABCE10024,neutraal,veters misschien
HABCE10024,neutraal,"Strakke veters, lastig vast te maken."
HABCE10024,neutraal,Aan de binnenkant komt het bovenmateriaal bij mij enigszins tegen het enkelgewricht aan.
HABCE10024,neutraal,Veter sluiting kan beter. Ronde veters zouden beter zijn.
HABCE10024,negatief,Advies Ivm brede voeten en smalle schoen
HABCE10024,neutraal,Geen.
HABCE10024,positief,"Niet dit product, maar let op met de maatvoering: Van een ander type Terrex heb ik maat 9 nodig."
HABCE10024,negatief,Toch wel wat snel nat aan de binnenkant
HABCE10024,neutraal,Veters wat breder en minder  glad
HABCE10024,neutraal,Geen
HABCE10024,negatief,De veters zijn waardeloos. Te dun voor een dubbelestrik en bij enkele strik gaan deze continu los.
HABCE10024,neutraal,Wel wat stug in het begin
HABCE10024,positief,Bij mij goede rechtervoet merk ik bij het afrollen van de voet een lichte irritatie tpv grote teen en het Bovenwerk (tpv einde veterrij) dit komt waarschijnlijk doordat ze wat steviger zijn. Ik heb hier bij veel schoenen last van en kan ervuitvgelopen worden. De veters waren wel erg dun en kort. Voor mij met ook beperking in functioneren hand daar door moeilijk te strikken. Gelukkig passen er ook net wat dikkere en langere veters van mr Lacy in die ik thuis had liggen.
HABCE10024,positief,"De versteviging die is aangebracht langs de veterdoorvoer is duidelijk voelbaar aan de binnenzijde van de schoen. Tijdens het lopen druk deze net op de grote teen. Ik hoopte dat dit door inlopen zou verdwijnen, maar dat is maar deels het geval. Het vermindert het loopcomfort."
HABCE10024,negatief,kleine blaar op de hiel bij het eerste gebruik.  Warmer dan schoenen zonder goretex.
HABCE10024,positief,"De veters blijven niet vast zitten, glijden los ook bij dubbele knoop"
HABCE10024,positief,"Niet echt tot nu toe, behalve dat de veters wat lastig recht op de tong te houden zijn wat niet afdoet aan het draagcomfort trouwens."
HABCE10024,positief,Dat de schoenen na passend weer gelijk opgeruimd werden
HABCE10024,neutraal,Op dit moment geen verbeterpunten.
HABCE10024,negatief,De schoen lijkt (op een afstand) van goedkoop plastic gemaakt te zijn.
HABCE10024,positief,"Het is een lage schoen, dus minder geschikt voor diepe sneeuw en modderpoelen."
HABCE10024,positief,"maatvoering, ze zijn toch te groot. Daarnaast erg stugge schoen"
HABCE10024,negatief,"De schoenen zijn keihard! Inlopen is voor mij onmogelijk, de eerste paar keer er op gelopen met zeer pijnlijke voeten tot gevolg en geen enkele verbetering."
HABCE10024,positief,Al heel wat km?s gewandeld maar nog steeds niet ingelopen. De vouwen van de schoen blijven in de boven kant van je voet snijden op 2 plekken
HABCE10024,positief,"Ontwerp, mooi zijn ze niet."
HABCE10024,neutraal,Zool mag voor mij nog iets stugger zijn
HABCE10024,neutraal,Misschien een reflecterende streep aan de achterkant?
HABCE10024,neutraal,Souplesse van de stof
HABCE10024,negatief,Een beetje zielige veters
HABCE10024,positief,Lichte soepele schoen. Met sterke zool
HABCE10024,positief,Je glij niet zomaar uit. Goeie pasvorm en mooi.
HABCE10024,positief,solide
HABCE10024,negatief,Goed waterdicht en brede neus dus veel ruimte voor je tenen.
HABCE10024,positief,"Absoluut waterdicht. Goed comfort. Uitstekende grip. Zelfs kortere stukken hardlopen gaat nog. Op hele gladde ondergronden (ijs, bevroren sneeuw) gedraagt de schoen zich zelfs goed. Prima aankoop."
HABCE10024,neutraal,Pasvorm
HABCE10024,neutraal,Comfortable schoenen
HABCE10024,positief,Goede schoen voor goede prijs.
HABCE10024,positief,"Stevige schoen, prima (wandel) profiel en Goretex. Ik heb maat 8.5 (normaal heb ik 42) en die zit perfect."
HABCE10024,positief,Sterke schoen die fijn loopt
HABCE10024,neutraal,De kwaliteit en de stabiliteit
HABCE10024,neutraal,Zool en voetbed
HABCE10024,positief,Een goede stevige soepele schoen
HABCE10024,neutraal,"Pasvorm, maat, stabiliteit"
HABCE10024,positief,Zit goed om de voet
HABCE10024,neutraal,De zool grip op de ondergrond
HABCE10024,positief,Ik heb mijn schoenen de hele dag aan omdat ik door verlamming en hypermobiliteit niet meer zonder schoenen kan lopen. Op aanraden van mijn revalidatiearts en fysiotherapeute zocht ik een schoen met stevige hiel én een stevige voorzijde. Vóór mijzelf moest hij ook licht van gewicht zijn en ademen. Deze Adidas schoenen voldoen daar als één  van de weinige lage wandelschoenen aan. Ook past mijn spalk/Enkel voet orthese er in door.
HABCE10024,positief,De schoen is licht en toch stevig.
HABCE10024,positief,Lichte schoen met stijve zool. Goede grip op losse en natte ondergrond. Waterdicht goretex.
HABCE10024,positief,"De rechter schoen zit als gegoten, lijkt of de linker anders van vorm is en daardoor knelt die meer. Het zijn lekkere schoenen zowel in bos wandelen als hardlopen."
HABCE10024,positief,"Goede demping in hak en de onderkant van de wreef.  Uiteraard echt waterdicht en goed ventilerend, ook met felle zon. Fijne onderzool die meegaat met de oneffenheden in het plaveisel."
HABCE10024,positief,"heel erg blij mee! sterk, flexibel en waterdicht."
HABCE10024,neutraal,De keuze die wij gingen maken
HABCE10024,positief,Mooie sportieve lichte schoen met veel grip
HABCE10024,neutraal,Pasvorm en zool.
HABCE10024,positief,"Goede grip en fijne ondersteuning van de voet. Gemakkelijk schoon te krijgen. Veel lichter dan de klassieke wandelschoen, en ziet er goed uit!"
HABCE10024,neutraal,waterdichtheid en prijs
HABCE10024,neutraal,Prijs
HABCE10024,positief,Goede grip en waterdicht
HABCE10024,positief,"* perfecte zool voor zandpaden, heuvels en gras. Heel veel houvast. * Waterdicht * De schoen is vrij stug, dus je moet hem wat inlopen.  * ik heb er nu 100 km meer gelopen, het laatste stukje van het Kustlandpad. Warffum naar Bad Nieuweschans.  * ze gaan mee op het nieuwe pad van Bad Nieuweschans naar Kleef."
HABCE10024,positief,Goede grip van de schoenzool
HABCE10024,neutraal,Ondersteuning.
HABCE10024,positief,Lichte schoen en toch redelijk stijve zool
HABCE10024,positief,"Lekker stevige schoenen, die na een paar dagen de vorm van je voet aannemen."
HABCE10024,neutraal,Stabiliteit van de schoen.
HABCE10024,positief,Uitstekende grip op ruw terrein
HABCE10024,neutraal,"Stabiele zool, gebruikte materialen"
HABCE10024,positief,Goede grip op verschillende ondergronden.
IABEE10002,positief,Ik mis een beetje ruimte in de hoogte van de schoen. Verder is de pasvorm super.
IABEE10002,neutraal,Mijn hielen zitten strak in de schoenen
IABEE10002,neutraal,Prijs
IABEE10002,neutraal,Verstevigde neus
IABEE10002,negatief,"De hiel van de zool staat ver naar achteren. De zool zelf is behoorlijk plat. Door deze bouw klapt de voet hinderlijk omlaag. Na verloop van tijd leerde ik ermee omgaan. Nu loop ik zonder klapvoeten, maar het was wel wennen na mijn oude Nike sneakers."
IABEE10002,neutraal,Geen
IABEE10002,neutraal,Meer demping voor de hiel
IABEE10002,positief,Super goed materiaal.
IABEE10002,positief,Zitten lekker
IABEE10002,positief,Fijne comfortabele schoenen met zacht leren hak stuk.
IABEE10002,negatief,Design. Loop comfort en dat ze makkelijk schoon gemaakt kunnen worden
IABEE10002,positief,"Pascomfort, licht, waterafstotend"
IABEE10002,positief,lopen heerlijk
IABEE10002,positief,Zit goed aan de voet
IABEE10002,positief,pasvorm en goede demping
IABEE10002,positief,Stevige schoen met goeie ondersteuning. Kleur is waar je van moet houden...
IABEE10002,negatief,Comfort en ondersteuning tijdens lange wandeltochten
B21AFC0003,positief,"Brede schacht. Op zich handig om met een broek in te glippen, maar er komt ook snel water in"
B21AFC0003,neutraal,de hiel had wat aansluitender gekund. Dat voorkomt slippen.  De hak wat hoger. Dat voorkomt voetpijn en been /rugklachten.
B21AFC0003,positief,"Het was goed dat er bij stond een maat groter te nemen. Ik heb normaal maat 39, maat 40 laarzen past perfect."
B21AFC0003,neutraal,Meer kleuren.
B21AFC0003,positief,Goede kwaliteit afwerking buitenzijde
B21AFC0003,positief,"brede ronde neuzen, goeie kleur, instap ruim en mooi rubber."
B21AFC0003,positief,Mooie stevige laars.
B21AFC0003,positief,Geschikt voor brede voeten met hoge wreef.
LABAD12001,neutraal,Geen
LABAD12001,negatief,"De slof is erg breed. Veel te breed voor mijn voeten, maar mijn man is er blij mee.  Ik vind ze ook erg glad voor thuis gebruik."
LABAD12001,neutraal,None
LABAD12001,positief,"Onderkant ziet er wat minder degelijk uit, maar zeker voldoende om een tijd mee te gaan."
LABAD12001,positief,De randen slijten snel
LABAD12001,neutraal,Nee
LABAD12001,negatief,De maten zijn raar de kleinere maat is te klein en de grotere maat te groot omdat het achterlijke tussen maten zijn van 3 maten
LABAD12001,positief,"Zool biedt weinig steun, maar is wel lekker dik en warm"
LABAD12001,neutraal,voetbed
LABAD12001,neutraal,Geen idee
LABAD12001,positief,"De pantoffels ogen best groot en niet meteen heel charmant, maar daar heb ik geen moeite mee."
LABAD12001,negatief,Enigzins lastig aan te trekken
LABAD12001,positief,Voor mijn voeten wat te breed. Ik ben benieuwd hoe slijtvast ze zijn.
LABAD12001,negatief,Ze zijn erg glad.
LABAD12001,neutraal,Zou niet weten
LABAD12001,positief,"De enkels blijven vrij, wellicht een aanvullend hoger model waarbij de enkels ook lekker zijn ingepakt?"
LABAD12001,neutraal,Nee
LABAD12001,negatief,De pantoffels komen erg plat gedrukt uit de verpakking
LABAD12001,neutraal,"De zool mag meer grip hebben, is soms iets te glad."
LABAD12001,neutraal,De (binnen)zool zou wat dikker mogen
LABAD12001,neutraal,rand aan bovenzijde strak
LABAD12001,positief,Te gladde zool : oppassen voor uitglijden op gladde ondergrond.  De zool is te snel stuk voor die prijs
LABAD12001,neutraal,"Harde rand, te glad"
LABAD12001,positief,Zool slijt snel
LABAD12001,neutraal,"Ik had graag een grotere maat gekocht, helaas bestaat die maat niet."
LABAD12001,positief,meer antislip op de zool was fijn geweest
LABAD12001,positief,Totaal geen warmte
LABAD12001,negatief,Te breed
LABAD12001,negatief,"Vallen klein uit, dus passen in de winkel is aan te raden, duidelijk niet bedoeld voor buiten, de zool zal direct kapot gaan of nat worden, daarvoor moet je de Nuptse Mule variant kopen, of de schoenmaker er stuk vibram onder laten plakken ;-). Vrij glad op laminaat in huis."
LABAD12001,neutraal,Should send it in original box
LABAD12001,positief,Zie goede punten.
LABAD12001,positief,Ze zijn net iets te groot
LABAD12001,neutraal,Geen.
LABAD12001,neutraal,Zijn niet de mooiste
LABAD12001,positief,Charmant zijn ze niet
LABAD12001,positief,- te klein: maataanduiding klopt niet - voetbed is in verhouding minder warm -
LABAD12001,neutraal,Geen
LABAD12001,negatief,Zolen zijn niet echt waterdicht (niet mee naar buiten gaan)
LABAD12001,positief,Zijn niet zo warm al de dons gevoerde uitvoering.
LABAD12001,neutraal,"De mules aangeschaft tijdens een kortingsactie, dus op zich geen minpunt, maar de prijs moet niet hoger zijn."
LABAD12001,neutraal,niet
LABAD12001,neutraal,Geen
LABAD12001,neutraal,Geen minpunt
LABAD12001,neutraal,Zijn er niet
LABAD12001,neutraal,Geen
LABAD12001,neutraal,Valt vrij klein. Zeker 2 maten. Kwaliteit laat de wensen over. Voor dit geld verwacht ik meer.
LABAD12001,negatief,Zijn niet waterdicht
LABAD12001,neutraal,"voor het uiterlijk hoef je het niet te doen, dat moet toch wel wat mooier kunnen"
LABAD12001,negatief,Kwaliteit van de zool is ondermaats voor deze prijs. Slijt te snel.
LABAD12001,positief,De zool is erg glad weinig grip op gladde vloeren  Eerder al een paar gehad met andere zool die was beter  Niet ff makkelijk aantrekken vanwege strakke ingang sluit dan wel goed aan
LABAD12001,negatief,Wel duur
LABAD12001,neutraal,"Enigszins strak rond de enkels in het begin, maar met gebruik werd dit minder."
LABAD12001,positief,- De sloffen zijn 'te' warm voor mij. - Je glijdt er snel mee uit doordat de grip niet goed is (laminaat vloer)
LABAD12001,negatief,"Ik vind het om de enkel wat aan de lage kant, mag wel hoger."
LABAD12001,negatief,Niet geschikt om een berg mee te beklimmen.
LABAD12001,positief,Het koord/elastiek dat de rand om de voet afsluit is wat krap bij het aan/uit trekken (eenmaal aan zit het wel comfortabel). Daardoor is aan/uit trekken net even wat lastiger.
